[i] Train : 7038
[i] Valid : 227
[i] pred_bboxes_op : Tensor("transpose:0", shape=(?, 49104, 4), dtype=float32)
[i] pred_classes_op : Tensor("RetinaNet/Sigmoid:0", shape=(?, 49104, 2), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(?, 49104, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(?, 49104, 2), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
 [i] generate validation data
[i] iter : 3300, loss : 7.4097, focal_loss : 0.2886, giou_loss : 0.2060, l2_reg_loss : 6.9151, train_time : 23sec
[i] iter : 3350, loss : 7.3841, focal_loss : 0.2761, giou_loss : 0.2056, l2_reg_loss : 6.9024, train_time : 23sec
[i] iter : 3400, loss : 7.3770, focal_loss : 0.2854, giou_loss : 0.2020, l2_reg_loss : 6.8896, train_time : 23sec
[i] iter : 3450, loss : 7.3758, focal_loss : 0.2846, giou_loss : 0.2144, l2_reg_loss : 6.8768, train_time : 23sec
[i] iter : 3500, loss : 7.3126, focal_loss : 0.2518, giou_loss : 0.1968, l2_reg_loss : 6.8640, train_time : 23sec
[i] iter : 3550, loss : 7.3299, focal_loss : 0.2706, giou_loss : 0.2082, l2_reg_loss : 6.8511, train_time : 23sec
[i] iter : 3600, loss : 7.3160, focal_loss : 0.2700, giou_loss : 0.2078, l2_reg_loss : 6.8382, train_time : 22sec
[i] iter : 3650, loss : 7.2743, focal_loss : 0.2455, giou_loss : 0.2034, l2_reg_loss : 6.8253, train_time : 22sec
[i] iter : 3700, loss : 7.2964, focal_loss : 0.2918, giou_loss : 0.1921, l2_reg_loss : 6.8125, train_time : 23sec
[i] iter : 3750, loss : 7.3488, focal_loss : 0.3464, giou_loss : 0.2022, l2_reg_loss : 6.8002, train_time : 23sec
[i] iter : 3800, loss : 7.3059, focal_loss : 0.3114, giou_loss : 0.2062, l2_reg_loss : 6.7882, train_time : 23sec
[i] iter : 3850, loss : 7.2580, focal_loss : 0.2771, giou_loss : 0.2049, l2_reg_loss : 6.7760, train_time : 23sec
[i] iter : 3900, loss : 7.2268, focal_loss : 0.2606, giou_loss : 0.2025, l2_reg_loss : 6.7637, train_time : 24sec
[i] iter : 3950, loss : 7.2479, focal_loss : 0.2939, giou_loss : 0.2025, l2_reg_loss : 6.7515, train_time : 23sec
[i] iter : 4000, loss : 7.2063, focal_loss : 0.2660, giou_loss : 0.2010, l2_reg_loss : 6.7394, train_time : 23sec
[i] iter : 4050, loss : 7.2085, focal_loss : 0.2798, giou_loss : 0.2015, l2_reg_loss : 6.7272, train_time : 23sec
[i] iter : 4100, loss : 7.2130, focal_loss : 0.2993, giou_loss : 0.1987, l2_reg_loss : 6.7151, train_time : 23sec
[i] iter : 4150, loss : 7.1265, focal_loss : 0.2265, giou_loss : 0.1971, l2_reg_loss : 6.7029, train_time : 23sec
[i] iter : 4200, loss : 7.1452, focal_loss : 0.2509, giou_loss : 0.2036, l2_reg_loss : 6.6907, train_time : 23sec
[i] iter : 4250, loss : 7.1100, focal_loss : 0.2351, giou_loss : 0.1965, l2_reg_loss : 6.6785, train_time : 23sec
[i] iter : 4300, loss : 7.1017, focal_loss : 0.2384, giou_loss : 0.1971, l2_reg_loss : 6.6662, train_time : 23sec
[i] iter : 4350, loss : 7.1555, focal_loss : 0.3113, giou_loss : 0.1903, l2_reg_loss : 6.6539, train_time : 23sec
[i] iter : 4400, loss : 7.0581, focal_loss : 0.2259, giou_loss : 0.1906, l2_reg_loss : 6.6416, train_time : 23sec
[i] iter : 4450, loss : 7.0767, focal_loss : 0.2417, giou_loss : 0.2058, l2_reg_loss : 6.6292, train_time : 23sec
